"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_HML_spread","R2-multiple","0.0219052203007082","R2-adjusted","0.0160130830736039"
"2","(Intercept)","0.00913416822792947","0.00402231146328567","2.27087541860026","0.024439614262461"
"3","VW_diffPosNegRel_HML_spread","0.292009064262918","0.15144639727812","1.92813476920593","0.0555450626867155"
"4","","","","",""
"5","VW_ret_HML_spread","R2-multiple","0.0339554004721354","R2-adjusted","0.028135854691847"
"6","(Intercept)","0.00986645100719196","0.00370137073180894","2.66562085294547","0.00844394144638411"
"7","VW_sentClasRel_HML_spread","0.225437258047913","0.0933288274575405","2.41551580780842","0.0167983608340048"
"8","","","","",""
"9","VW_ret_HML_spread","R2-multiple","0.0219052203007082","R2-adjusted","0.0160130830736039"
"10","(Intercept)","0.00913416822792947","0.00402231146328567","2.27087541860026","0.024439614262461"
"11","VW_diffPosNegRel_HML_spread","0.292009064262918","0.15144639727812","1.92813476920593","0.0555450626867155"
"12","","","","",""
"13","VW_ret_HML_spread","R2-multiple","0.0310262155767913","R2-adjusted","0.0251890241043623"
"14","(Intercept)","0.00746436830239965","0.00302090848692559","2.47090182794522","0.0144872108964712"
"15","VW_sentClas_HML_spread","0.131389162353913","0.0569897970895088","2.30548570207315","0.0223767789986887"
"16","","","","",""
"17","VW_ret_HML_spread","R2-multiple","0.145566732034253","R2-adjusted","0.140419543673013"
"18","(Intercept)","-0.00110838001804657","0.00215275487643355","-0.514865872645388","0.607331624883799"
"19","VW_ret_HML_All","0.277469976002037","0.0521759014614255","5.31797186498397","3.34920476410874e-07"
"20","","","","",""
"21","VW_ret_HML_spread","R2-multiple","0.185147869870274","R2-adjusted","0.17527087435355"
"22","(Intercept)","0.00665341659934639","0.00345878922345846","1.92362591921505","0.0561230194850047"
"23","VW_ret_HML_All","0.282986309353745","0.0511443631966071","5.53308892058937","1.2132889241516e-07"
"24","VW_sentClasRel_HML_spread","0.243573937615816","0.0860367724629049","2.83104457132947","0.00521696236280499"
"25","","","","",""
"26","VW_ret_HML_spread","R2-multiple","0.305151750691444","R2-adjusted","0.288100259910866"
"27","(Intercept)","-0.00308697627692618","0.00204308197340259","-1.51094097892953","0.13273969266245"
"28","VW_ret_HML_All","0.157593114234688","0.0543645311334867","2.89882228263377","0.00426184255507832"
"29","VW_ret_Ranks_momentum_spread","-0.0859662622650078","0.0170490201926497","-5.04229928134346","1.21384149249145e-06"
"30","VW_ret_Inv_spread","-0.310483073988387","0.113482267590813","-2.73596113806878","0.00690944286946916"
"31","VW_ret_OP_Prof_spread","-0.219543621234195","0.0790240145756016","-2.77818866091851","0.0061080118928646"
"32","","","","",""
"33","VW_ret_HML_spread","R2-multiple","0.347568429029361","R2-adjusted","0.327431652147551"
"34","(Intercept)","0.00485598143350171","0.00315180200384521","1.54070002734226","0.125340860544753"
"35","VW_ret_HML_All","0.160798719948742","0.0528506466668381","3.04251187241645","0.00273780484331103"
"36","VW_ret_Ranks_momentum_spread","-0.0850038777677623","0.0165740157283181","-5.12874364071745","8.24144105614848e-07"
"37","VW_ret_Inv_spread","-0.319147309442044","0.110335171446815","-2.89252561315756","0.0043472087327817"
"38","VW_ret_OP_Prof_spread","-0.234688795043102","0.0769516603330702","-3.04982106984174","0.00267561664620602"
"39","VW_sentClasRel_HML_spread","0.252705968547345","0.0778676643916753","3.24532616358224","0.00142539329031935"
"40","","","","",""
"41","VW_ret_HML_H - VW_ret_HML_All","R2-multiple","0.0214179879357094","R2-adjusted","0.0155229155738762"
"42","(Intercept)","0.00757303751531382","0.00312804935108299","2.4210096022596","0.0165553513686931"
"43","VW_diffPosNegRel_HML_spread","0.224492383327504","0.117776012388336","1.90609597638013","0.0583657843082011"
"44","","","","",""
"45","VW_ret_HML_H - VW_ret_HML_All","R2-multiple","0.034843634952356","R2-adjusted","0.0290294399821894"
"46","(Intercept)","0.00827234022703531","0.0028764219448953","2.87591333452172","0.00455727074936196"
"47","VW_sentClasRel_HML_spread","0.17755084703341","0.0725280191695409","2.44803110668677","0.0154048820364099"
"48","","","","",""
"49","VW_ret_HML_H - VW_ret_HML_All","R2-multiple","0.0214179879357094","R2-adjusted","0.0155229155738762"
"50","(Intercept)","0.00757303751531382","0.00312804935108299","2.4210096022596","0.0165553513686931"
"51","VW_diffPosNegRel_HML_spread","0.224492383327504","0.117776012388336","1.90609597638013","0.0583657843082011"
"52","","","","",""
"53","VW_ret_HML_H - VW_ret_HML_All","R2-multiple","0.0303804669254171","R2-adjusted","0.0245393854008713"
"54","(Intercept)","0.00629204454366836","0.00234948128185041","2.67805689378076","0.0081494361707488"
"55","VW_sentClas_HML_spread","0.101083930172039","0.0443232431891779","2.28060771050977","0.023843378614552"
"56","","","","",""
"57","VW_ret_HML_H","R2-multiple","0.845705097026741","R2-adjusted","0.844775609659432"
"58","(Intercept)","-0.000387233473034335","0.00166838971407781","-0.232100132101555","0.816746129051975"
"59","VW_ret_HML_All","1.21972130987339","0.0404364371782051","30.1639163830885","2.88624518776764e-69"
"60","","","","",""
"61","VW_ret_HML_H","R2-multiple","0.853092568506568","R2-adjusted","0.851311872367253"
"62","(Intercept)","0.00572827027903517","0.00267838364488618","2.13870417330696","0.0339308845724615"
"63","VW_ret_HML_All","1.22406761769012","0.039604675816857","30.9071490283255","1.58698636090186e-70"
"64","VW_sentClasRel_HML_spread","0.191911409538605","0.0666243212105941","2.88050078487087","0.00449790361580646"
"65","","","","",""
"66","VW_ret_HML_H","R2-multiple","0.869624857993629","R2-adjusted","0.866425468005743"
"67","(Intercept)","-0.0019129648413545","0.00161400327754918","-1.18522983686829","0.237651665553172"
"68","VW_ret_HML_All","1.1271887285563","0.0429471419033376","26.245954412829","2.03877121552795e-60"
"69","VW_ret_Ranks_momentum_spread","-0.0612683036091034","0.013468463247273","-4.54901962341609","1.04765577122872e-05"
"70","VW_ret_Inv_spread","-0.178888510820239","0.0896492427713244","-1.99542690256229","0.0476624140799838"
"71","VW_ret_OP_Prof_spread","-0.175928710103659","0.0624277538495918","-2.81811693125348","0.00542891375348867"
"72","","","","",""
"73","VW_ret_HML_H","R2-multiple","0.877549482671995","R2-adjusted","0.873770145717427"
"74","(Intercept)","0.00434840678144085","0.0024902214074738","1.74619283586197","0.0826730150922639"
"75","VW_ret_HML_All","1.12971568254291","0.0417570049032361","27.0545190001249","5.67292472561379e-62"
"76","VW_ret_Ranks_momentum_spread","-0.0605096634147385","0.0130950385601988","-4.62080834176785","7.75973667691655e-06"
"77","VW_ret_Inv_spread","-0.185718460063393","0.0871752113866745","-2.13040447059681","0.0346478391799973"
"78","VW_ret_OP_Prof_spread","-0.187867532512961","0.0607990830858913","-3.08997312093604","0.00235662277063778"
"79","VW_sentClasRel_HML_spread","0.199206144368118","0.0615228128485122","3.23792322140121","0.00146056362529715"
"80","","","","",""
"81","VW_ret_HML_L - VW_ret_HML_All","R2-multiple","0.0141596602375049","R2-adjusted","0.0082208630100199"
"82","(Intercept)","-0.00156113071261564","0.00116131668862468","-1.34427648195123","0.180693186026715"
"83","VW_diffPosNegRel_HML_spread","-0.0675166809354136","0.0437254126629708","-1.54410620331528","0.124466840960991"
"84","","","","",""
"85","VW_ret_HML_L - VW_ret_HML_All","R2-multiple","0.0185249801285402","R2-adjusted","0.0126124800088325"
"86","(Intercept)","-0.00159411078015664","0.00107291612301873","-1.48577390716386","0.139235615450534"
"87","VW_sentClasRel_HML_spread","-0.0478864110145029","0.0270532218945523","-1.7700816265491","0.0785492562643908"
"88","","","","",""
"89","VW_ret_HML_L - VW_ret_HML_All","R2-multiple","0.0141596602375049","R2-adjusted","0.0082208630100199"
"90","(Intercept)","-0.00156113071261564","0.00116131668862468","-1.34427648195123","0.180693186026715"
"91","VW_diffPosNegRel_HML_spread","-0.0675166809354136","0.0437254126629708","-1.54410620331528","0.124466840960991"
"92","","","","",""
"93","VW_ret_HML_L - VW_ret_HML_All","R2-multiple","0.0199581670193695","R2-adjusted","0.0140543005556306"
"94","(Intercept)","-0.00117232375873129","0.000873707393610991","-1.34178074639627","0.181499634187426"
"95","VW_sentClas_HML_spread","-0.0303052321818739","0.0164825936611434","-1.83862035338021","0.0677579498151369"
"96","","","","",""
"97","VW_ret_HML_L","R2-multiple","0.956469817153129","R2-adjusted","0.956207587135979"
"98","(Intercept)","0.000721146545012245","0.000643719919241197","1.12027999050009","0.264212654182937"
"99","VW_ret_HML_All","0.942251333871351","0.0156017145485362","60.394088799667","6.61286325979643e-115"
"100","","","","",""
"101","VW_ret_HML_L","R2-multiple","0.957484395427312","R2-adjusted","0.956969054765825"
"102","(Intercept)","-0.000925146320311218","0.0010466586565452","-0.883904522764783","0.37803386948028"
"103","VW_ret_HML_All","0.941081308336372","0.0154767136748782","60.8062750339523","6.73873367147103e-115"
"104","VW_sentClasRel_HML_spread","-0.0516625280772102","0.0260354496506344","-1.98431480041488","0.0488789000288567"
"105","","","","",""
"106","VW_ret_HML_L","R2-multiple","0.965101340526037","R2-adjusted","0.96424493170459"
"107","(Intercept)","0.00117401143557168","0.000606584594442014","1.93544551960083","0.0546663939424001"
"108","VW_ret_HML_All","0.969595614321609","0.016140657838959","60.0716292976165","4.08413305553343e-113"
"109","VW_ret_Ranks_momentum_spread","0.0246979586559044","0.00506180032608721","4.87928346928612","2.51608154755799e-06"
"110","VW_ret_Inv_spread","0.131594563168148","0.0336925273479318","3.90574924253124","0.00013733610676501"
"111","VW_ret_OP_Prof_spread","0.0436149111305359","0.0234619807019733","1.85896117146101","0.0648354853519988"
"112","","","","",""
"113","VW_ret_HML_L","R2-multiple","0.966184563781837","R2-adjusted","0.965140877478808"
"114","(Intercept)","-0.00050757465206086","0.000950594146740495","-0.533955162464748","0.594104484468831"
"115","VW_ret_HML_All","0.968916962594166","0.0159399338256826","60.7855072166635","1.95579529484014e-113"
"116","VW_ret_Ranks_momentum_spread","0.0244942143530238","0.00499877921268617","4.90003925175593","2.30646346772908e-06"
"117","VW_ret_Inv_spread","0.133428849378651","0.0332774609664543","4.00958623355174","9.26274708338245e-05"
"118","VW_ret_OP_Prof_spread","0.0468212625301411","0.0232088810798826","2.01738560204549","0.0453062918914919"
"119","VW_sentClasRel_HML_spread","-0.0534998241792263","0.0234851510027516","-2.27802768536417","0.0240319286620442"
"120","","","","",""
